"name","tenure","party","race","gender","politicalexperience","district","appointed","propvote","cmtchair","partyleader","chambermed","newscore","year","upper","outdegree","indegree","state","limits","squire","majority","republican","democrat","nonwhite","female","ideodistchamber","nwomen","nleg","npoc","nmaj","propwomen","proppoc","propmaj","propmin","majp","maj","maj_sd","st","h_chamber_sd","s_chamber_sd","introlimit","partybal","h_dem_sd_avg","s_dem_sd_avg","h_rep_sd_avg","s_rep_sd_avg","house","h_rep_sd","s_rep_sd","h_dem_sd","s_dem_sd","hou_dem_median","hou_rep_median","sen_dem_median","sen_rep_median","h_rep_med","s_rep_med","h_dem_med","s_dem_med","sessionid","lower","yearshort","partycolors","yearlong"
"Richard Foster",22,"D","native","male",0,"39",0,1,0,0,0.4365,0.633,10,"L",0,5,"AK",0,0.296,0,0,1,1,0,0.1965,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Leslie Gara",8,"D","white","male",0,"23",0,1,0,0,0.4365,-0.864,10,"L",10,10,"AK",0,0.296,0,0,1,0,0,1.3005,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Alberta Gardner",6,"D","white","female",0,"24",0,0.609279609,0,0,0.4365,-0.953,10,"L",3,6,"AK",0,0.296,0,0,1,0,1,1.3895,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Carl Gatto",8,"R","white","male",1,"13",0,0.703728748,0,0,0.4365,0.523,10,"L",7,5,"AK",0,0.296,1,1,0,0,0,0.0865,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Max Gruenberg",8,"D","white","male",0,"20",0,0.805415768,0,0,0.4365,-0.523,10,"L",10,7,"AK",0,0.296,0,0,1,0,0,0.9595,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"David Guttenberg",8,"D","white","male",0,"8",0,0.628676075,0,1,0.4365,-0.843,10,"L",3,4,"AK",0,0.296,0,0,1,0,0,1.2795,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"John Harris",12,"R","white","male",0,"12",0,0.724719101,0,0,0.4365,0.662,10,"L",8,4,"AK",0,0.296,1,1,0,0,0,0.2255,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Michael Hawker",8,"R","white","male",0,"32",0,0.638469018,1,0,0.4365,0.723,10,"L",2,5,"AK",0,0.296,1,1,0,0,0,0.2865,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Bob Herron",2,"D","white","male",0,"38",0,1,1,0,0.4365,0.317,10,"L",7,4,"AK",0,0.296,0,0,1,0,0,0.1195,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Lindsey Holmes",4,"D","white","female",0,"26",0,1,0,0,0.4365,-0.459,10,"L",6,4,"AK",0,0.296,0,0,1,0,1,0.3955,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Kyle Johansen",4,"R","white","male",0,"1",0,1,0,1,0.4365,0.876,10,"L",8,4,"AK",0,0.296,1,1,0,0,0,0.4395,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Craig Johnson",6,"R","white","male",0,"28",0,0.556210386,1,0,0.4365,0.96,10,"L",9,9,"AK",0,0.296,1,1,0,0,0,0.5235,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Reginald Joule",14,"D","native","male",0,"40",0,1,0,0,0.4365,-0.292,10,"L",5,3,"AK",0,0.296,0,0,1,1,0,0.7285,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Scott Kawasaki",4,"D","asian","male",1,"9",0,0.522950301,0,0,0.4365,-0.563,10,"L",0,5,"AK",0,0.296,0,0,1,1,0,0.9995,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Wes Keller",4,"R","white","male",0,"14",0,0.780698872,1,0,0.4365,0.844,10,"L",4,4,"AK",0,0.296,1,1,0,0,0,0.4075,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Michael Kelly",6,"R","white","male",0,"7",0,0.500049826,0,0,0.4365,0.814,10,"L",3,4,"AK",0,0.296,1,1,0,0,0,0.3775,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Beth Kerttula",12,"D","white","female",0,"3",0,1,0,1,0.4365,-1.057,10,"L",6,14,"AK",0,0.296,0,0,1,0,1,1.4935,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Robert Lynn",8,"R","white","male",1,"31",0,0.713196607,1,0,0.4365,0.491,10,"L",18,13,"AK",0,0.296,1,1,0,0,0,0.0545,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Charisse Millett",2,"R","native","female",0,"30",0,0.564403093,0,0,0.4365,0.849,10,"L",7,5,"AK",0,0.296,1,1,0,1,1,0.4125,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Cathy Munoz",2,"R","white","female",1,"4",0,0.526862027,1,0,0.4365,0.29,10,"L",15,7,"AK",0,0.296,1,1,0,0,1,0.1465,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Mark Neuman",6,"R","white","male",0,"15",0,0.767493224,1,0,0.4365,1.009,10,"L",17,6,"AK",0,0.296,1,1,0,0,0,0.5725,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Kurt Olson",6,"R","white","male",0,"33",0,0.673615394,1,0,0.4365,0.84,10,"L",1,4,"AK",0,0.296,1,1,0,0,0,0.4035,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"James Petersen",2,"D","white","male",0,"19",0,0.518029768,0,0,0.4365,-0.639,10,"L",1,6,"AK",0,0.296,0,0,1,0,0,1.0755,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Jay Ramras",6,"R","white","male",0,"10",0,0.525972703,1,0,0.4365,0.822,10,"L",14,10,"AK",0,0.296,1,1,0,0,0,0.3855,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Woodie Salmon",6,"D","native","male",1,"6",0,0.537073171,0,0,0.4365,-0.469,10,"L",5,2,"AK",0,0.296,0,0,1,1,0,0.9055,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Paul Seaton",8,"R","native","male",0,"35",0,0.668770802,1,0,0.4365,0.28,10,"L",1,5,"AK",0,0.296,1,1,0,1,0,0.1565,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Bill Stoltze",8,"R","white","male",0,"16",0,0.754672417,1,0,0.4365,0.748,10,"L",8,3,"AK",0,0.296,1,1,0,0,0,0.3115,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"William Thomas",6,"R","white","male",0,"5",0,0.615442732,0,0,0.4365,0.549,10,"L",4,8,"AK",0,0.296,1,1,0,0,0,0.1125,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Chris Tuck",2,"D","white","male",1,"29",0,0.516801075,0,0,0.4365,-0.622,10,"L",5,15,"AK",0,0.296,0,0,1,0,0,1.0585,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,FALSE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0,0,0.403539142,0,-0.65,0.7995,-0.703,0.71,0,0,-0.65,0,"AKL10","L",10,"#0072B2",2010
"Peggy Wilson",10,"R","white","female",1,"2",0,0.573297003,1,0,0.4365,0.581,10,"L",15,9,"AK",0,0.296,1,1,0,0,1,0.1445,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Tammie Wilson",1,"R","white","female",0,"11",1,1,0,1,0.4365,1.16,10,"L",2,4,"AK",0,0.296,1,1,0,0,1,0.7235,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",0.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"John Coghill",11,"R","white","male",1,"11",0,1,1,1,0.4365,0.849,10,"L",10,NA,"AK",0,0.296,1,1,0,0,0,0.4125,10,41,8,22,0.243902439,0.195121951,0.536585366,0.463414634,TRUE,"R",1.225242973,"ak",0.711011422,0.7975688,0,0.073170732,0.403539142,0.2793682,0.224953102,0.218162,1,0.224953102,0,0,0,-0.65,0.7995,-0.703,0.71,0.7995,0,0,0,"AKL10","L",10,"#D55E00",2010
"Alan Austerman",18,"R","white","male",0,"35",0,0.684836249,0,1,0.532,0.56,12,"L",7,4,"AK",0,0.296,1,1,0,0,0,0.028,10,40,6,24,0.25,0.15,0.6,0.4,TRUE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0.214655728,0,0,0,-0.65,0.755,-0.69,0.681,0.755,0,0,0,"AKL12","L",12,"#D55E00",2012
"Charles Chenault",12,"R","white","male",0,"29",0,0.812192032,0,1,0.532,0.872,12,"L",2,4,"AK",0,0.296,1,1,0,0,0,0.34,10,40,6,24,0.25,0.15,0.6,0.4,TRUE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0.214655728,0,0,0,-0.65,0.755,-0.69,0.681,0.755,0,0,0,"AKL12","L",12,"#D55E00",2012
"Sharon Cissna",14,"D","white","female",1,"22",0,1,0,0,0.532,-0.879,12,"L",0,3,"AK",0,0.296,0,0,1,0,1,1.411,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
"Mia Costello",2,"R","white","female",0,"27",0,0.562642716,0,0,0.532,0.645,12,"L",10,7,"AK",0,0.296,1,1,0,0,1,0.113,10,40,6,24,0.25,0.15,0.6,0.4,TRUE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0.214655728,0,0,0,-0.65,0.755,-0.69,0.681,0.755,0,0,0,"AKL12","L",12,"#D55E00",2012
"Alan Dick",2,"R","white","male",0,"6",0,0.586219809,1,0,0.532,0.798,12,"L",8,4,"AK",0,0.296,1,1,0,0,0,0.266,10,40,6,24,0.25,0.15,0.6,0.4,TRUE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0.214655728,0,0,0,-0.65,0.755,-0.69,0.681,0.755,0,0,0,"AKL12","L",12,"#D55E00",2012
"Michael Doogan",6,"D","white","male",0,"25",0,0.651125768,0,0,0.532,-0.662,12,"L",2,3,"AK",0,0.296,0,0,1,0,0,1.194,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
"Bryce Edgmon",6,"D","native","male",1,"37",0,1,0,0,0.532,-0.021,12,"L",3,4,"AK",0,0.296,0,0,1,1,0,0.553,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
"Anna Fairclough MacKinnon",6,"R","white","female",1,"17",0,1,0,0,0.532,0.86,12,"L",5,7,"AK",0,0.296,1,1,0,0,1,0.328,10,40,6,24,0.25,0.15,0.6,0.4,TRUE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0.214655728,0,0,0,-0.65,0.755,-0.69,0.681,0.755,0,0,0,"AKL12","L",12,"#D55E00",2012
"Eric Feige",2,"R","white","male",0,"6",0,0.629548618,1,0,0.532,0.541,12,"L",11,5,"AK",0,0.296,1,1,0,0,0,0.009,10,40,6,24,0.25,0.15,0.6,0.4,TRUE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0.214655728,0,0,0,-0.65,0.755,-0.69,0.681,0.755,0,0,0,"AKL12","L",12,"#D55E00",2012
"Neal Foster",3,"D","native","male",0,"39",1,1,0,0,0.532,0.029,12,"L",2,7,"AK",0,0.296,0,0,1,1,0,0.503,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
"Leslie Gara",10,"D","white","male",0,"20",0,1,0,0,0.532,-0.864,12,"L",12,14,"AK",0,0.296,0,0,1,0,0,1.396,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
"Alberta Gardner",8,"D","white","female",0,"24",0,1,0,1,0.532,-0.953,12,"L",9,6,"AK",0,0.296,0,0,1,0,1,1.485,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
"Carl Gatto",10,"R","white","male",1,"13",0,1,0,0,0.532,0.523,12,"L",2,1,"AK",0,0.296,1,1,0,0,0,0.009,10,40,6,24,0.25,0.15,0.6,0.4,TRUE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0.214655728,0,0,0,-0.65,0.755,-0.69,0.681,0.755,0,0,0,"AKL12","L",12,"#D55E00",2012
"Max Gruenberg",10,"D","white","male",0,"16",0,0.692256118,0,0,0.532,-0.523,12,"L",7,9,"AK",0,0.296,0,0,1,0,0,1.055,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
"David Guttenberg",10,"D","white","male",0,"4",0,0.549874372,0,0,0.532,-0.843,12,"L",7,11,"AK",0,0.296,0,0,1,0,0,1.375,10,40,6,24,0.25,0.15,0.6,0.4,FALSE,"R",0.214655728,"ak",0.705384858,0.825706324,0,0.2,0.38907896,0.294996078,0.214655728,0.292689566,1,0,0,0.38907896,0,-0.65,0.755,-0.69,0.681,0,0,-0.65,0,"AKL12","L",12,"#0072B2",2012
